Price,Close,High,Low,Open,Volume
Ticker,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS
Date,,,,,
2019-12-02,158.2015838623047,160.11709208889832,156.13871962510308,158.1033465218994,19441998
2019-12-03,155.4019775390625,160.06796620878447,154.6161238179583,160.06796620878447,21156471
2019-12-04,166.4038848876953,167.3370946140034,154.91082104171082,155.69667476385357,72084687
2019-12-05,163.16226196289062,169.15436471789133,162.2781709083111,167.3370939187072,31787128
2019-12-06,158.64361572265625,165.0286528879644,157.21926427587013,164.046339477917,27727162
2019-12-09,157.6613006591797,163.50606238988382,156.92456560937043,159.13477075879817,30920409
2019-12-10,156.87545776367188,160.36267357111757,156.23696000535554,159.28212276129022,26259395
2019-12-11,158.9383087158203,160.11708178022346,154.6161208277918,157.56306098325604,21154277
2019-12-12,170.28402709960938,171.8066008178032,159.6259211387783,160.55911583380714,66138915
2019-12-13,173.5747833251953,180.69655582571366,172.39601018496123,174.1150587195691,93019636
2019-12-16,171.855712890625,175.63762518039016,170.28402056690177,173.8694582009037,26249975
2019-12-17,177.01287841796875,177.94607318569638,172.24866724002723,172.88716497875836,38213263
2019-12-18,171.70838928222656,181.23682648443878,167.43531989800374,178.8792802655724,63861334
2019-12-19,175.98143005371094,177.01286206545785,170.92252231411658,171.56101999386308,53466924
2019-12-20,172.83804321289062,178.48634537663813,171.7575074444782,177.20933493313865,48818008
2019-12-23,172.93629455566406,175.83411638091866,171.06988991357937,173.72214835291476,27192195
2019-12-24,172.39599609375,174.85177951388889,171.56102373533778,174.50796383950447,20560311
2019-12-26,171.51193237304688,173.32920324108673,171.02077565375282,172.78892785208055,18785333
2019-12-27,173.0345001220703,173.8203538430667,171.75750468797833,172.88715910703291,12095797
2019-12-30,180.4509735107422,181.0894862315292,173.18186014777143,174.06593623635237,40948394
2019-12-31,181.87533569335938,184.57669777623568,178.33901614185172,180.74568118154045,52869996
2020-01-01,181.18771362304688,183.3979188949193,180.35275618035445,181.87533004317996,25968357
2020-01-02,190.32321166992188,191.25640635516615,181.33505050791368,181.72796985257057,57289863
